S.mitis	S.gallolyticus	S.oralis	S.equinus	S.pneumoniae	S.vestibularis
Peptidoglycan biosynthesis	20.0877333326446	18.0169306948244	19.1681936516821	17.3068052950663	21.8191630294731	23.3051503379764
Riboflavin metabolism	15.1281785229965	17.5353356049637	12.1178956800921	17.3208854824944	15.5897715986054	9.18793769465259
Phenylalanine, tyrosine and tryptophan biosynthesis	16.4885420908712	3.59655401431153	6.39070218016421	6.19118997169053	4.49548242212555	8.00312480774561
D-Glutamine and D-glutamate metabolism	5.69704257162288	6.1190018936144	6.11670578055252	5.76600129988167	6.1186328039939	5.95706552479648
Biosynthesis of amino acids	11.6876321684093	2.68834995945786	5.70579012490024	2.97997946498428	3.42964006829532	2.94317733495208
Valine, leucine and isoleucine biosynthesis	8.88407425021039	2.44638808118089	2.46053528063854	6.27900239910021	5.79558517672427	1.47364690554519
Arginine and proline metabolism	2.79644117198377	8.87287139768423	1.73060586519959	4.42781051440035	6.12731090410722	2.74579088715178
2-Oxocarboxylic acid metabolism	7.83126508272578	1.11320856911088	1.73060586519959	3.46221529597371	4.49548242212555	0.656201831566005
Lysine degradation	1.15282117356028	2.10134516455794	3.40983567107579	4.68181738551435	3.78421187345945	4.15305341284595
Nicotinate and nicotinamide metabolism	4.20456818156351	3.13232866940687	0.569041034445031	3.39394408978926	0.709991699497067	1.66606404411311
beta-Alanine metabolism	4.13516847390546	1.11022302462516e-16	-2.22044604925031e-16	0	3.93934500361003	4.63778503564036
Amino sugar and nucleotide sugar metabolism	0.739992846218488	1.06016309840497	1.30130394030701	1.35542516442902	1.25266384830055	3.216974489539
Sulfur metabolism	1.00541524711086	3.36129724812191	1.18737908681153	-2.22044604925031e-16	1.67493607334178	0
Pyrimidine metabolism	0.706785503757041	1.87929519859659	1.40052970291159	0.85572147839966	0.99164131967963	1.33485598803964
Cysteine and methionine metabolism	0.586848846548006	2.69917112347513	1.59269961863924	3.33066907387547e-16	1.80705475110427	0.236757219195175
D-Alanine metabolism	1.96170460184561	2.22044604925031e-16	0	-2.22044604925031e-16	2.31834202597003	2.26291137106929
Pantothenate and CoA biosynthesis	1.41074547535041	0.430523727853803	0.569041034445031	0.491339252574905	1.65317937193479	1.77579495370134
Phenylalanine metabolism	0.8857368091228	1.12600578675183	1.31735766554352	0.978545568424874	0.830987664688434	0.938955760847541
Alanine, aspartate and glutamate metabolism	0.3189915598689	1.95339074993504	0.433197545214589	0.392411522417793	1.1843125385381	1.31029013746103
Butanoate metabolism	0.512474606499696	0.555966679073187	0.983794679310279	0.887424530693211	2.44296462280169	-2.22044604925031e-16
C5-Branched dibasic acid metabolism	1.15282117356028	1.11022302462516e-16	1.31735766554352	1.56241126523268	1.31839530499819	0
Valine, leucine and isoleucine degradation	0.786234685772151	1.00185603531137	0.983794679310279	-2.22044604925031e-16	1.18839989342972	1.13995030415079
Glutathione metabolism	0.786234685772151	0.897998528555242	1.11022302462516e-16	0.978545568424874	0.984781584572431	1.03169335905371
Isoquinoline alkaloid biosynthesis	1.34060556143863	1.11022302462516e-16	1.67386508208339	-2.22044604925031e-16	1.11022302462516e-16	1.62236987908954
Tyrosine metabolism	0.8857368091228	0.897998528555242	0.901991986785255	0.978545568424874	0	0.725036258338492
Pentose and glucuronate interconversions	0.702038631998073	0.555966679073187	0.901991986785255	0.574957435034012	0.709991699497067	0.938955760847541
Starch and sucrose metabolism	0.56721910723376	0.248287436694588	0.830034874148748	0.531051525458986	0.612131950526223	0.858411666794827
Tropane, piperidine and pyridine alkaloid biosynthesis	1.34060556143863	1.72718816595051	0	-2.22044604925031e-16	1.11022302462516e-16	0
Galactose metabolism	0.244250335958859	0.213730462219987	0.433197545214589	0.294992637628692	0.381094598905363	0.858411666794827
Aminobenzoate degradation	0	1.72718816595051	3.33066907387547e-16	2.22044604925031e-16	1.11022302462516e-16	-2.22044604925031e-16
