S.mitis	S.gallolyticus	S.oralis	S.equinus	S.pneumoniae	S.vestibularis
Peptidoglycan biosynthesis	0.0293886431186369	-0.41460208633951	-0.167765390906556	-0.566856622086692	0.400616069653885	0.719219386560236
Riboflavin metabolism	0.0978621757735477	0.461295857643304	-0.356631710504953	0.42891807965353	0.167553710343879	-0.798998112909308
Phenylalanine, tyrosine and tryptophan biosynthesis	0.943474980471723	-0.413889798191418	-0.119701013329716	-0.140707148542318	-0.319243902456762	0.0500668820484905
D-Glutamine and D-glutamate metabolism	-0.681848687231403	0.402362141608939	0.396462353368265	-0.504661465561868	0.401413777767921	-0.0137281199518534
Biosynthesis of amino acids	0.94895404920256	-0.310271573791851	0.111944096742196	-0.269465280883869	-0.206546468005973	-0.274614823263063
Valine, leucine and isoleucine biosynthesis	0.735173273337958	-0.358478006764685	-0.356074642824522	0.29261672585787	0.210492520018427	-0.523729869625049
Arginine and proline metabolism	-0.304430167568654	0.814183673588916	-0.500640455892299	-0.00411036487447303	0.30875172493248	-0.31375441018597
2-Oxocarboxylic acid metabolism	0.840753649142815	-0.382751119675146	-0.270309592205263	0.0450542919759195	0.233234795332441	-0.465982024570767
Lysine degradation	-0.757381363263037	-0.408819871008092	0.0720213179148974	0.539446336906116	0.209596254348853	0.345137325101263
Nicotinate and nicotinamide metabolism	0.623524905514806	0.276261070947243	-0.553905214779446	0.360989877369666	-0.508255835255678	-0.198614803796591
beta-Alanine metabolism	0.423591417885285	-0.445073856189904	-0.445073856189904	-0.445073856189904	0.382455234542826	0.529174916141601
Amino sugar and nucleotide sugar metabolism	-0.418026041731221	-0.239039047280751	-0.104232411634402	-0.0739766487225597	-0.131424019282451	0.966698168651384
Sulfur metabolism	-0.0781466525380667	0.845039606353084	-0.00684150382746139	-0.472133083188689	0.184214716389823	-0.472133083188689
Pyrimidine metabolism	-0.555885060769161	0.779677981238352	0.23433366157983	-0.386237522472883	-0.231416187103117	0.159527127526979
Cysteine and methionine metabolism	-0.264772694338458	0.721783900317539	0.205008230327077	-0.538859468857749	0.305122437255472	-0.428282404703881
D-Alanine metabolism	0.355455644938602	-0.444922785286755	-0.444922785286756	-0.444922785286756	0.500964250776486	0.478348460145178
Pantothenate and CoA biosynthesis	0.279148608891816	-0.490242850124576	-0.38151843864378	-0.442507788731054	0.469438785461002	0.565681683146592
Phenylalanine metabolism	-0.346825295510761	0.308322578259696	0.830086884952333	-0.0937611591247967	-0.496111257938699	-0.201711750637772
Alanine, aspartate and glutamate metabolism	-0.456377005899749	0.76021595831709	-0.371365829262177	-0.401725602244542	0.187739450371607	0.28151302871777
Butanoate metabolism	-0.226304771679856	-0.200715310889367	0.0510061452137246	-0.00569522571411643	0.909538973065041	-0.527829809995425
C5-Branched dibasic acid metabolism	0.181857133497825	-0.621424737696427	0.296505601266557	0.46725811572053	0.297228624907941	-0.621424737696427
Valine, leucine and isoleucine degradation	-0.0711096482744027	0.169198464283633	0.149069240623097	-0.947361344914478	0.377099966382156	0.323103321899995
Glutathione metabolism	0.00795365934113869	0.147743325403749	-0.975436687966774	0.248488284822872	0.256288040031001	0.314963378368014
Isoquinoline alkaloid biosynthesis	0.325666112451098	-0.443250263607504	0.51681010757686	-0.443250263607504	-0.443250263607504	0.487274570794554
Tyrosine metabolism	0.205315343371402	0.221643225459869	0.226960971919827	0.328900823124899	-0.974144540738119	-0.00867582313787822
Pentose and glucuronate interconversions	-0.08734992968026	-0.533298959574282	0.523095832191987	-0.475321305218972	-0.0630696851511693	0.635944047432696
Starch and sucrose metabolism	-0.0892098256746671	-0.789356203685934	0.48774606891775	-0.16860802823707	0.00938673108698869	0.550041257592933
Tropane, piperidine and pyridine alkaloid biosynthesis	0.506907395806476	0.743203091141542	-0.312527621737005	-0.312527621737005	-0.312527621737005	-0.312527621737005
Galactose metabolism	-0.330424695939088	-0.393441443351458	0.0597092430743969	-0.225653135125669	-0.0478717461230394	0.937681777464857
Aminobenzoate degradation	-0.2	1	-0.2	-0.2	-0.2	-0.2
