rxn04898	Metabolism of xenobiotics by cytochrome P450
rxn04893	Metabolism of xenobiotics by cytochrome P450
rxn04892	Metabolism of xenobiotics by cytochrome P450
rxn04891	Metabolism of xenobiotics by cytochrome P450
rxn04890	Metabolism of xenobiotics by cytochrome P450
rxn04896	Metabolism of xenobiotics by cytochrome P450
rxn04895	Metabolism of xenobiotics by cytochrome P450
rxn04894	Metabolism of xenobiotics by cytochrome P450
rxn11899	Retinol metabolism
rxn11898	Retinol metabolism
rxn11727	Biosynthesis of unsaturated fatty acids
rxn11726	Biosynthesis of unsaturated fatty acids
rxn11725	Biosynthesis of unsaturated fatty acids
rxn11724	Biosynthesis of unsaturated fatty acids
rxn11723	Biosynthesis of unsaturated fatty acids
rxn11722	Biosynthesis of unsaturated fatty acids
rxn11721	Biosynthesis of unsaturated fatty acids
rxn11892	Retinol metabolism
rxn01111	Carbon fixation in photosynthetic organisms|Carbon metabolism
rxn01110	Pentose phosphate pathway
rxn01113	Pentose and glucuronate interconversions
rxn01112	Pentose and glucuronate interconversions
rxn01115	Pentose phosphate pathway|Glutathione metabolism|Carbon metabolism
rxn01114	Pentose and glucuronate interconversions
rxn01116	Pentose phosphate pathway|Pentose and glucuronate interconversions|Carbon fixation in photosynthetic organisms|Carbon metabolism|Biosynthesis of amino acids
rxn00578	Starch and sucrose metabolism
rxn00579	Starch and sucrose metabolism
rxn00575	Starch and sucrose metabolism
rxn00577	Starch and sucrose metabolism
rxn00571	Nitrogen metabolism
rxn00572	Nitrogen metabolism
rxn04404	Anthocyanin biosynthesis
rxn04406	Flavonoid biosynthesis
rxn04402	Anthocyanin biosynthesis
rxn04403	Anthocyanin biosynthesis
rxn06669	D-Alanine metabolism
rxn06663	Ether lipid metabolism
rxn06666	Ether lipid metabolism
rxn06664	Ether lipid metabolism
rxn00790	Purine metabolism|Alanine, aspartate and glutamate metabolism
rxn00791	Phenylalanine, tyrosine and tryptophan biosynthesis|Biosynthesis of amino acids
rxn00792	Biotin metabolism
rxn00795	Biotin metabolism
rxn00797	Pyrimidine metabolism
rxn00799	Citrate cycle (TCA cycle)|Pyruvate metabolism|Carbon fixation pathways in prokaryotes|Carbon metabolism
rxn15170	Glycerophospholipid metabolism
rxn06933	Atrazine degradation
rxn06930	Polycyclic aromatic hydrocarbon degradation
rxn06936	Aminoacyl-tRNA biosynthesis
rxn06937	Porphyrin and chlorophyll metabolism|Aminoacyl-tRNA biosynthesis
rxn06934	Galactose metabolism
rxn06935	Atrazine degradation
rxn06938	Benzoate degradation
rxn05915	N-Glycan biosynthesis
rxn05914	N-Glycan biosynthesis
rxn02636	Steroid hormone biosynthesis
rxn05911	Pyrimidine metabolism
rxn05910	Cysteine and methionine metabolism
rxn05913	N-Glycan biosynthesis
rxn05912	N-Glycan biosynthesis
rxn05919	Glycerophospholipid metabolism
rxn05918	N-Glycan biosynthesis
rxn15549	Cyanoamino acid metabolism
rxn15546	Glycerophospholipid metabolism
rxn15545	Glycerophospholipid metabolism
rxn15543	Starch and sucrose metabolism
rxn15542	Terpenoid backbone biosynthesis
rxn05810	Porphyrin and chlorophyll metabolism
rxn16692	Biosynthesis of ansamycins
rxn16693	Biosynthesis of ansamycins
rxn16690	Terpenoid backbone biosynthesis
rxn02947	Streptomycin biosynthesis
rxn02946	Arginine and proline metabolism
rxn02945	Carotenoid biosynthesis
rxn02944	Arginine and proline metabolism
rxn02943	Amino sugar and nucleotide sugar metabolism
rxn02942	Histidine metabolism
rxn16696	Biosynthesis of ansamycins
rxn02949	Valine, leucine and isoleucine degradation
rxn02948	Benzoate degradation|Dioxin degradation
rxn16694	Biosynthesis of ansamycins
rxn16695	Biosynthesis of ansamycins
rxn11895	Retinol metabolism
rxn11894	Retinol metabolism
rxn11897	Retinol metabolism
rxn11896	Retinol metabolism
rxn11891	Retinol metabolism
rxn11890	Retinol metabolism
rxn11893	Retinol metabolism
rxn11720	Biosynthesis of unsaturated fatty acids
rxn06064	Pentose and glucuronate interconversions|Starch and sucrose metabolism
rxn06065	Lipopolysaccharide biosynthesis
rxn03546	Caprolactam degradation|Degradation of aromatic compounds
rxn06067	Lipopolysaccharide biosynthesis
rxn06060	Glutathione metabolism
rxn06061	Arginine and proline metabolism
rxn16016	Chloroalkane and chloroalkene degradation
rxn06063	Amino sugar and nucleotide sugar metabolism
rxn16018	Chloroalkane and chloroalkene degradation
rxn16019	Chloroalkane and chloroalkene degradation
rxn06068	Lipopolysaccharide biosynthesis
rxn00897	Amino sugar and nucleotide sugar metabolism
rxn00895	Amino sugar and nucleotide sugar metabolism
rxn00892	Amino sugar and nucleotide sugar metabolism
rxn00891	Amino sugar and nucleotide sugar metabolism
rxn00890	Galactose metabolism
