cpd24339	C18H24NO4	Cocaethylene
cpd24338	C20H38O2	Ethyl_oleate
cpd14495	C20H28NO18R	beta-D-Glucuronosyl-(1->3)-N-acetyl-beta-D-galactosaminyl-(1->4)- beta-D-glucuronosylproteoglycan
cpd14494	C14H21NO12R	N-Acetyl-beta-D-galactosaminyl-(1->4)-beta-D- glucuronosylproteoglycan
cpd14493	C20H28NO18R	beta-D-Glucuronosyl-(1->4)-N-acetyl-alpha-D-glucosaminyl-(1->4)- beta-D-glucuronosylproteoglycan
cpd14492	C14H21NO12R	N-Acetyl-alpha-D-glucosaminyl-(1->4)-beta-D-glucuronosylproteoglycan
cpd14491	C22H34N2O17R	N-Acetyl-alpha-D-glucosaminyl-(1->4)-beta-D-glucuronosyl-(1->4)-N- acetyl-alpha-D-glucosaminylproteoglycan
cpd14490	C14H21NO12R	beta-D-Glucuronosyl-(1->4)-N-acetyl-alpha-D-glucosaminylproteoglycan
cpd29213	C5H12O8P2	(E)-4-hydroxy-3-methylbut 2-en-1-yl diphosphate
cpd24334	C15H22O3	2-trans,4-trans-xanthoxin
cpd24337	C40H58O2	15,15'-dihydroxy-beta-carotene
cpd24336	C40H56O	beta-carotene 15,15' epoxide
cpd15984	C68H129N2O8PRS	cyclopropanated methoxy-meroacid ACP (1 cyclopropane ring)
cpd03426	C42H38N4O16	Sirohydrochlorin
cpd03135	C19H26O3	4-Androsten-11beta-ol-3,17-dione
cpd03136	C19H24O3	Adrenosterone
cpd03137	C19H26O3	19-Hydroxyandrostenedione
cpd03130	C29H44N7O17P3S	(2E)-Octenoyl-CoA
cpd03423	C14H18N2O4	alpha-Ribazole
cpd03420	C43H43N4O16	Precorrin 3A
cpd03421	C45H55CoN4O14	Cobyrinate
cpd15542	C30H58O13P2	Phosphatidylglycerophosphate didodecanoyl
cpd15543	C34H66O13P2	Phosphatidylglycerophosphate ditetradecanoyl
cpd15540	C42H82O10P	Phosphatidylglycerol dioctadecanoyl
cpd12261	C3H5NO2R	N-Methyl-L-amino acid
cpd15546	C38H70O13P2	Phosphatidylglycerophosphate dihexadec-9-enoyl
cpd15547	C42H82O13P2	Phosphatidylglycerophosphate dioctadecanoyl
cpd03428	C45H50N4O18	Bilirubin-bisglucuronoside
cpd03429	C33H46N4O6	L-Urobilinogen
cpd15985	C69H131N2O8PRS	cyclopropanated methoxy-meroacid ACP (2 cyclopropane rings)
cpd14638	C40H52	Chlorobactene
cpd14633	C41H58O2	Spheroidenone
cpd14632	C41H62O2	Hydroxyspheroidene
cpd14630	C41H60O	Spheroidene
cpd14637	C40H58	1',2'-Dihydro-gamma-carotene
cpd14635	C41H60O3	Hydroxyspheroidenone
cpd25260	C53H92O15	1-(11Z-eicosenoyl)-2-(9Z,12Z,15Z-octadecatrienoyl)-3-O-[alpha-D-galactosyl-(1->6)-O-beta-D-galactosyl]-sn-glycerol
cpd05860	C36H54O9	Oleanoic acid 3-O-glucuronide
cpd11514	C26H47N2O8PRS	12-methyl-trans-tetra-dec-2-enoyl-ACP
cpd11517	C28H53N2O9PRS	14-methyl-3-hydroxy-hexa-decanoyl-ACP
cpd11516	C28H51N2O9PRS	14-methyl-3-oxo-hexa-decanoyl-ACP
cpd11511	C24H45N2O8PRS	10-methyl-dodecanoyl-ACP
cpd11510	C24H43N2O8PRS	10-methyl-trans-dodec-2-enoyl-ACP
cpd11513	C26H49N2O9PRS	12-methyl-3-hydroxy-tetra-decanoyl-ACP
cpd11512	C26H47N2O9PRS	12-methyl-3-oxo-tetra-decanoyl-ACP
cpd11518	C28H51N2O8PRS	14-methyl-trans-hexa-dec-2-enoyl-ACP
cpd25261	C53H92O15	1-(11Z,14Z-eicosadienoyl)-2-(9Z,12Z-octadecadienoyl)-3-O-[alpha-D-galactosyl-(1->6)-O-beta-D-galactosyl]-sn-glycerol
cpd06921	C18H16O8	Chrysosplenol C
cpd15147	C16H23N5O6	trans-Zeatin-7-beta-D-glucoside
cpd15142	C4H8N2O3	Asparagine
cpd15143	C6H13NO2	Leucine
cpd15140	C5H8NO2	Proline
cpd00768	C4H7N2O3	N-Carbamoylsarcosine
cpd00769	C5H5NO5	N-Formyl-L-aspartate
cpd27040	C6H12O6	FRU
cpd22561	C10H18O2	(4S,7R)-7-isopropyl-4-methyloxepan-2-one
cpd00760	C26H40N7O17P3S	2-Methylbutyryl-CoA
cpd00761	C19H28O	3-Oxo-delta5-steroid
cpd00762	C5H11N3O2	4-Guanidinobutanoate
cpd00763	C8H6O6	4-Maleylacetoacetate
cpd00764	C9H21N2O2	7-8-Diaminononanoate
cpd00765	C6H10O6	L-Gulonolactone
cpd00766	C6H5O6	Ascorbate radical
cpd00767	C6H7NO5	N-Acetyl-L-aspartate
cpd08159	C26H41NO7S	Sulfoglycolithocholate
cpd01144	C10H18O9	Xylobiose
cpd01143	C25H32N2O6	Vindoline
cpd01142	C11H20O10	Vicianose
cpd01141	C10H10O3	Vermelone
cpd01140	C14H20N2O16P2	UDP-apiose
cpd09792	C11H10O	1-Naphthalenemethanol
cpd09793	C11H8O	1-Naphthaldehyde
cpd09790	C8H8O2	3-Methylsalicylaldehyde
cpd09791	C8H7O3	3-Methylsalicylate
cpd09796	C11H7O4	1,2-Dihydroxy-8-carboxynaphthalene
cpd09797	C11H6O6	2-Carboxy-2-hydroxy-8-carboxychromene
cpd09794	C11H7O2	1-Naphthoic acid
cpd09795	C11H9O4	cis-1,2-Dihydroxy-1,2-dihydro-8-carboxynaphthalene
cpd09798	C11H6O6	2-Hydroxy-3-carboxybenzalpyruvate
cpd09799	C8H5O4	3-Formylsalicylic acid
cpd05039	C12H9N	Carbazole
cpd22680	C2H4O6S2	EDS
cpd18008	C10H14O	(+)-Menthofuran
cpd18009	C26H42N7O19P3S	Ethylmalonyl-CoA
cpd18004	C35H36N4O5	Pheophorbide a
cpd18005	C35H38N4O7	Red chlorophyll catabolite
cpd18006	C20H20O5	Flavaprenin
cpd18007	C20H20O6	Leachianone G
cpd18000	C10H18O	Menth-8-en-2-ol
cpd18001	C10H16O	Menth-8-en-2-one
cpd18002	C10H16O2	1-Hydroxymenth-8-en-2-one
cpd18003	C10H18O2	Menth-8-ene-1,2-diol
cpd15818	C46H94O9P	2-O-(3'-hydroxy)phytanyl-3-O-phytanyl-sn-glycerol-1-phospho-3'-sn-glycerol
cpd15819	C49H98O12P	2-O-(3'-hydroxyl)phytanyl-3-O-phytanyl-sn-glycero-1-phospho-myo-inositol
cpd15548	C42H78O13P2	Phosphatidylglycerophosphate dioctadec-11-enoyl
cpd15549	C124H219N2O54P3	phospho-heptosyl-heptosyl-kdo2-lipidA
cpd03422	C48H75CoN11O8	Cobinamide
cpd03131	C33H51N7O17P3S	trans,cis-Lauro-2,6-dienoyl-CoA
cpd02050	C12H10O2	2,2'-Dihydroxybiphenyl
cpd22688	C13H17N3O9	4-ADNT glucoside
cpd03132	C33H51N7O17P3S	cis,cis-3,6-Dodecadienoyl-CoA
cpd02051	C6H10NO4	Alanopine
cpd02052	C6H4N4O2	Lumazine
cpd23741	C28H37N8O17P3S	PABA -CoA
cpd15810	C5H8NO5S2	2-(sulfomethyl)thiazolidine-4-carboxylic acid
cpd24531	C15H24O	1beta-hydroxy-5-epiaristolochene
cpd02053	C4H7NO3	2-Amino-acetoacetate
cpd23744	C16H23N5O15P2	GDP-beta-L-fucose
cpd24535	C15H22O2	2-dehydrolubimin
cpd02954	C24H42O21	1,3-alpha-D-Mannosyl-1,2-alpha-D-mannosyl-1,2-alpha-D-mannosyl-D- mannose
cpd02054	C6H11O7	2-Carboxy-D-arabinitol
cpd24539	C20H26O6	GA97
cpd24538	C20H26O5	GA110
cpd15812	C43H73O7P	2-O-(3'-hydroxy)geranyl-3-O-geranyl-sn-glycerol
cpd02055	C5H9O3R	2-Deoxy-D-ribosyl-base
cpd02956	C14H19NO14S	4-Deoxy-beta-D-gluc-4-enuronosyl-(1,3)-N-acetyl-D-galactosamine 4-sulfate
cpd15814	C46H80O9P	2-O-(3'-hydroxy)geranyl-3-O-geranyl-sn-glycerol-1-phospho-3'-sn-glycerol
cpd15815	C46H79O12P2	2-O-(3'-hydroxy)geranyl-3-O-geranyl-sn-glycerol-1-phospho-3'-sn-glycerol phosphate
cpd07426	C16H16O4	Vestitol
cpd02953	C33H52O9	(20S,22S,25S)-22,25-Epoxyfurost-5-ene-3beta,26-diol 3-O-beta-D-glucoside
cpd07424	C22H22O10	Trifolirhizin
cpd07428	C20H18O5	Wighteone
cpd15545	C38H74O13P2	Phosphatidylglycerophosphate dihexadecanoyl
cpd16398	C8H10O5	2-Oxosuberate
cpd16399	C10H10NO4	3-Carbamoyl-2-phenylpropionic acid
cpd16392	C23H26NO9	Morphine-6-glucuronide
cpd16393	C11H14N2O5	2-Hydroxyfelbamate
cpd16391	C24H28NO9	Codeine-6-glucuronide
cpd16396	C10H11NO3	3-Carbamoyl-2-phenylpropionaldehyde
cpd16397	C7H8O5	2-Oxopimelate
cpd16394	C11H14N2O5	p-Hydroxyfelbamate
cpd15932	C5H10O14P3	5-phosphoarabinose pyrophosphate
cpd15931	C41H70N7O17P3S	arachidyl coenzyme A
cpd08441	C33H34N4O6	15,16-Dihydrobiliverdin
cpd08443	C21H22N2O3	Polyneuridine aldehyde
cpd12729	C10H12N4O7	Urate-3-ribonucleoside
cpd12897	C32H42O14	Glucosyl-limonin
cpd12896	C15H17O8	4'-O-beta-D-Glucosyl-cis-p-coumarate
cpd27126	C19H29N7O10P	GMP-N-epsilon-(N-alpha-acetyl lysine methyl ester) 5'-phosphoramidate
cpd07682	C45H73NO14	alpha-Chaconine
cpd19712	CH3I	Methyl iodide
cpd19711	CH3Br	Methyl bromide
cpd13418	C21H23O10RS	3,5,7,9,11,13,15,17,19-Nonaoxo-henicosanoyl-[acp]
cpd13419	C22H25O10RS	3,5,7,9,11,13,15,17,19-Nonaoxo-docosanoyl-[acp]
cpd13417	C20H21O10RS	3,5,7,9,11,13,15,17,19-Nonaoxo-eicosanoyl-[acp]
cpd13412	C17H19O8RS	3,5,7,9,11,13,15-Heptaoxo-heptadecanoyl-[acp]
cpd13413	C18H21O8RS	3,5,7,9,11,13,15-Heptaoxo-octadecanoyl-[acp]
cpd13411	C16H17O8RS	3,5,7,9,11,13,15-Heptaoxo-hexadecanoyl-[acp]
cpd03309	C8H5NO2	Indole-5,6-quinone
cpd03308	C8H7NO2	DHI
cpd03307	C8H8O4	3,4-Dihydroxymandelaldehyde
cpd03306	C8H10O4	3,4-Dihydroxyphenylethyleneglycol
cpd03305	C9H15N3O2	Hercynine
cpd03303	C5H6NO4	4-Oxoglutaramate
cpd03302	C6H5N2O2S	Thiourocanic acid
cpd03301	C9H15N3O2S	Ergothioneine
cpd03300	C6H7N2O3	Imidazole lactate
cpd12094	CO2R	Alkanate
cpd23099	C10H11O5	3-methoxy-4-hydroxyphenyllactate
cpd26870	C10H8NO4	3-OH-2-oxindole-3-acetate
cpd26872	C6H8O24P6	DIPHOSPHO-1D-MYO-INOSITOL-TETRAKISPHOSPH
cpd25378	C9H16O	(3Z)-nonenal
cpd25373	C15H18O8	1-O-coumaroyl-beta-D-glucose
cpd25370	C21H22O10	naringenin chalcone 4'-O-glucoside
cpd25371	C21H22O11	pentahydroxychalcone 4'-O-glucoside
cpd25376	C18H29O3	9,10-EOD
cpd25377	C18H31O4	10-oxo-9-hydroxy-12Z-octadecenoic acid
cpd25374	C39H37N2O21	4-coumaroylamaranthin
cpd25375	C31H44N7O19P3S	5-hydroxy-3,4,4-trimethyl-delta2-pimelyl-CoA-delta-lactone
cpd19935	CH3.Hg	Methylmercury
cpd15151	C15H23N5O5	Dihydrozeatin riboside
cpd15153	C15H21N5O5	cis-Zeatin riboside
cpd15152	C16H25N5O6	Dihydrozeatin-O-glucoside
cpd01968	C3H3NO4	3-aci-Nitropropanoate
cpd15157	C10H13N3O2	NNK (carcinogen)
cpd01964	C7H6O2	3-Hydroxybenzaldehyde
cpd01967	C24H37O3	3-Oxo-5beta-cholanate
cpd01966	C26H38N7O17P3S	Dimethylacryloyl-CoA
cpd01961	C4H5O5	3-Dehydro-L-threonate
cpd01960	C7H6O5	2-Oxohept-3-enedioate
cpd01963	C5H8NO5	3-Hydroxy-L-glutamate
cpd01962	C4H9N3O2	3-Guanidinopropanoate
cpd04651	C7H6O5	2-Hydroxy-5-methyl-cis,cis-muconate
cpd04652	C7H6O5	2-Oxo-5-methyl-cis-muconate
cpd04653	C7H8N4O2	Theobromine
cpd04306	C11H8O4	Spirodilactone
cpd04307	C6H6Cl6	beta-BHC
cpd04309	C6H5Cl	Chlorobenzene
cpd02438	C3H7O3S2	Methyl CoM
cpd02439	C6H6O7	2-Dehydro-3-deoxy-D-glucarate
cpd02436	C6H2O4Cl2	2,4-Dichloro-cis,cis-muconate
cpd02437	C4H6N2O2	2,4-Dioxotetrahydropyrimidine
cpd02435	C19H30O2	Androstanolone
cpd02432	C12H10NO3	(S)-beta-Methylindolepyruvate
cpd02430	C29H48O2	(24R,28R)-Fucosterol epoxide
cpd02431	C5H6NO2	1-Pyrroline-5-carboxylate
cpd08304	C9H9O3	Dihydro-3-coumaric acid
cpd08302	C29H46O	4,4-Dimethyl-5alpha-cholesta-8,14,24-trien-3beta-ol
cpd08300	C16H22N2O15P2	dTDP-4-oxo-beta-L-rhamnose
cpd08301	C5H10O9P2	2-C-methyl-D-erythritol2-4-cyclodiphosphate
cpd29663	C6H8O7	D-isocitrate
cpd29666	C7H7O4	2,3-Dihydro-2,3-dihydroxybenzoate
cpd24299	C20H28O2	(3R)-11-cis-3-hydroxyretinal
cpd24296	C21H14N3O3	deoxyviolaceinate
cpd24297	C21H14N3O4	violaceinate
cpd24294	C20H13N3O2	proviolacein
cpd24295	C20H13N3O	prodeoxyviolacein
cpd24292	C21H14N3O3	protoviolaceinate
cpd24293	C21H14N3O2	protodeoxyviolaceinate
