PATRIC ID	RefSeq Locus Tag	Product
fig|208963.12.peg.1	PA14_00010	Chromosomal replication initiator protein DnaA
fig|208963.12.peg.2	PA14_00020	DNA polymerase III beta subunit (EC 2.7.7.7)
fig|208963.12.peg.3	PA14_00030	DNA recombination and repair protein RecF
fig|208963.12.peg.4	PA14_00050	DNA gyrase subunit B (EC 5.99.1.3)
fig|208963.12.peg.5	PA14_00060	Acyl-CoA:1-acyl-sn-glycerol-3-phosphate acyltransferase (EC 2.3.1.51)
fig|208963.12.peg.6	PA14_00070	Histidinol-phosphatase (EC 3.1.3.15)
fig|208963.12.peg.7	PA14_00080	hypothetical protein
fig|208963.12.peg.8	PA14_00090	Glycyl-tRNA synthetase beta chain (EC 6.1.1.14)
fig|208963.12.peg.9	PA14_00100	Glycyl-tRNA synthetase alpha chain (EC 6.1.1.14)
fig|208963.12.peg.10	PA14_00110	DNA-3-methyladenine glycosylase (EC 3.2.2.20)
fig|208963.12.peg.11	PA14_00120	Lipid A biosynthesis lauroyl acyltransferase (EC 2.3.1.241)
fig|208963.12.peg.12	PA14_00130	hypothetical protein
fig|208963.12.peg.13	PA14_00140	Putative preQ0 transporter YhhQ
fig|208963.12.peg.14	PA14_00160	FIG140336: TPR domain protein
fig|208963.12.peg.15	PA14_00170	Trk system potassium uptake protein TrkA
fig|208963.12.peg.16	PA14_00180	16S rRNA (cytosine(967)-C(5))-methyltransferase (EC 2.1.1.176)
fig|208963.12.peg.17	PA14_00190	Methionyl-tRNA formyltransferase (EC 2.1.2.9)
fig|208963.12.peg.18	PA14_00200	Peptide deformylase (EC 3.5.1.88)
fig|208963.12.peg.19	PA14_00210	"Uncharacterized protein with LysM domain, COG1652"
fig|208963.12.peg.20	PA14_00230	Rossmann fold nucleotide-binding protein Smf possibly involved in DNA uptake
fig|208963.12.peg.21	PA14_00240	TsaC protein (YrdC domain) required for threonylcarbamoyladenosine t(6)A37 modification in tRNA
fig|208963.12.peg.22	PA14_00250	Quinone oxidoreductase (EC 1.6.5.5)
fig|208963.12.peg.23	PA14_00280	"Coproporphyrinogen III oxidase, aerobic (EC 1.3.3.3)"
fig|208963.12.peg.24	PA14_00290	Shikimate 5-dehydrogenase I alpha (EC 1.1.1.25)
fig|208963.12.peg.25	PA14_00300	hypothetical protein
fig|208963.12.peg.26	PA14_00310	Parvulin-like peptidyl-prolyl isomerase
fig|208963.12.peg.27	PA14_00320	hypothetical protein
fig|208963.12.peg.28	PA14_00340	Sulfate permease
fig|208963.12.peg.29	PA14_00360	Glycine betaine/L-proline transport substrate-binding protein ProX (TC 3.A.1.12.1)
fig|208963.12.peg.30	PA14_00380	Choline-sulfatase (EC 3.1.6.6)
fig|208963.12.peg.31	PA14_00400	"Transcriptional regulator, LysR family"
fig|208963.12.peg.32	PA14_00410	Aromatic ring-cleaving dioxygenase
fig|208963.12.peg.33	PA14_00420	hypothetical protein
fig|208963.12.peg.34	PA14_00430	Putative two-component response regulator
fig|208963.12.peg.35	PA14_00440	Tryptophan synthase alpha chain (EC 4.2.1.20)
fig|208963.12.peg.36	PA14_00450	Tryptophan synthase beta chain (EC 4.2.1.20)
fig|208963.12.peg.37	PA14_00460	Glycine cleavage system transcriptional activator
fig|208963.12.peg.38	PA14_00470	Dodecin (COG3360) Flavin-binding
fig|208963.12.peg.39	PA14_00480	hypothetical protein
fig|208963.12.peg.40	PA14_00490	Channel-forming transporter/cytolysins activator of TpsB family
