PA14_ID	GeneName	Essentiality	KEGG_ID	COG_ID	FUNCTION
PA14_00010	dnaA	Essential	K02313	COG0593	"DNA replication, recombination, and repair"
PA14_00020	dnaN	Essential	K02338	COG0592	"DNA replication, recombination, and repair"
PA14_00030	recF	Nonessential	K03629	COG1195	"DNA replication, recombination, and repair"
PA14_00050	gyrB	Essential	K02470	COG0187	"DNA replication, recombination, and repair"
PA14_00060		Nonessential		COG0204	Lipid metabolism
PA14_00070		Nonessential		COG0241	Amino acid transport and metabolism
PA14_00080		Nonessential			
PA14_00090	glyS	Essential	K01879	COG0751	"Translation, ribosomal structure and biogenesis"
PA14_00100	glyQ	Essential	K01878	COG0752	"Translation, ribosomal structure and biogenesis"
PA14_00110	tag	Nonessential	K01246	COG2818	"DNA replication, recombination, and repair"
PA14_00120		Nonessential		COG1560	"Cell envelope biogenesis, outer membrane"
PA14_00130		Nonessential			
PA14_00140		Nonessential		COG1738	General function prediction only
PA14_00150		Nonessential			
PA14_00160		Nonessential		COG4783	General function prediction only
PA14_00170	trkA	Nonessential	K03499	COG0569	Inorganic ion transport and metabolism
PA14_00180	sun	Nonessential	K03500	COG0144	"Translation, ribosomal structure and biogenesis"
PA14_00190	fmt	Essential	K00604	COG0223	"Translation, ribosomal structure and biogenesis"
PA14_00200	def	Essential	K01462	COG0242	"Translation, ribosomal structure and biogenesis"
PA14_00210		Nonessential		COG1652	Function unknown
PA14_00230	smf	Nonessential	K04096	COG0758	"DNA replication, recombination, and repair / Intracellular trafficking and secretion"
PA14_00240		Essential		COG0009	"Translation, ribosomal structure and biogenesis"
PA14_00250	qor	Nonessential	K00344	COG0604	Energy production and conversion / General function prediction only
PA14_00280	hemF	Essential	K00228	COG0408	Coenzyme metabolism
PA14_00290	aroE	Nonessential	K00014	COG0169	Amino acid transport and metabolism
PA14_00300	plcB	Nonessential			
PA14_00310		Nonessential		COG0760	"Posttranslational modification, protein turnover, chaperones"
PA14_00320		Nonessential			
PA14_00340		Nonessential		COG0659	Inorganic ion transport and metabolism
PA14_00360		Nonessential		COG2113	Amino acid transport and metabolism
PA14_00380	betC	Nonessential	K01133	COG3119	Inorganic ion transport and metabolism
PA14_00400		Nonessential		COG0583	Transcription
PA14_00410		Nonessential		COG3805	"Secondary metabolites biosynthesis, transport, and catabolism"
PA14_00420		Nonessential		COG2198	Signal transduction mechanisms
PA14_00430	bvga	Nonessential		COG2197	Signal transduction mechanisms / Transcription
PA14_00440	trpA	Nonessential	K01695	COG0159	Amino acid transport and metabolism
PA14_00450	trpB	Nonessential	K01696	COG0133	Amino acid transport and metabolism
PA14_00460	trpI	Nonessential		COG0583	Transcription
PA14_00470		Nonessential		COG3360	Function unknown
PA14_00480		Nonessential			
PA14_00490		Nonessential		COG2831	Intracellular trafficking and secretion
PA14_00510		Nonessential		COG3210	Intracellular trafficking and secretion
PA14_00520		Nonessential			
PA14_00530		Nonessential			
PA14_00550		Nonessential		COG3174	Function unknown
PA14_00560	exoT	Nonessential	K16636	COG5585	Signal transduction mechanisms
PA14_00570		Nonessential		COG1462	"Cell envelope biogenesis, outer membrane"
PA14_00580		Nonessential		COG4259	Function unknown
PA14_00590		Nonessential		COG4380	Function unknown
PA14_00600		Nonessential			
PA14_00620		Nonessential			
PA14_00630		Nonessential			
PA14_00640	phzH	Nonessential	K01953	COG0367	Amino acid transport and metabolism
PA14_00650		Nonessential		COG1917	Function unknown
PA14_00660		Nonessential		COG1859	"Translation, ribosomal structure and biogenesis"
PA14_00670		Nonessential		COG3812	Function unknown
PA14_00680		Nonessential		COG0583	Transcription
PA14_00690		Nonessential		COG0491	General function prediction only
PA14_00700		Nonessential		COG3531	"Posttranslational modification, protein turnover, chaperones"
PA14_00710	osmC	Nonessential	K04063	COG1764	"Secondary metabolites biosynthesis, transport and catabolism"
PA14_00720		Nonessential			
PA14_00730		Nonessential			
PA14_00740		Nonessential			
PA14_00750		Nonessential		COG4324	General function prediction only
PA14_00760		Nonessential			
PA14_00770		Nonessential		COG0546	General function prediction only
PA14_00780		Nonessential		COG0663	General function prediction only
PA14_00790	prlC	Nonessential	K01414	COG0339	Amino acid transport and metabolism
PA14_00800		Nonessential		COG3529	General function prediction only
PA14_00810		Nonessential		COG1533	"DNA replication, recombination, and repair"
PA14_00820		Nonessential			
PA14_00830		Nonessential		COG1262	Function unknown
PA14_00850		Nonessential			
PA14_00860		Nonessential		COG1136	Defense mechanisms
PA14_00875	ppkA	Nonessential	K11912	COG0515	"General function prediction only / Signal transduction mechanisms / Transcription / DNA replication, recombination, and repair"
PA14_00890		Nonessential		COG0631	Signal transduction mechanisms
PA14_00900		Nonessential		COG3913	Function unknown
PA14_00910		Nonessential		COG3523	"Intracellular trafficking, secretion, and    vesicular transport"
PA14_00925		Nonessential		COG3455	"Intracellular    trafficking, secretion, and vesicular transport"
PA14_00940		Nonessential		COG3522	"Intracellular trafficking, secretion, and    vesicular transport"
PA14_00960		Nonessential		COG3521	"Intracellular trafficking, secretion, and    vesicular transport"
PA14_00970		Nonessential		COG3456	"Intracellular trafficking, secretion, and vesicular    transport; Signal transduction mechanisms"
PA14_00980		Nonessential		COG3456	"Intracellular trafficking, secretion, and vesicular    transport; Signal transduction mechanisms"
PA14_00990		Nonessential		COG3515	"Intracellular trafficking, secretion, and    vesicular transport"
PA14_01010		Nonessential		COG3516	"Intracellular trafficking, secretion, and    vesicular transport"
PA14_01020		Nonessential		COG3517	"Intracellular trafficking, secretion, and    vesicular transport"
PA14_01030		Nonessential		COG3157	"Intracellular trafficking, secretion,    and vesicular transport"
PA14_01040		Nonessential		COG4455	General function prediction only
PA14_01060		Nonessential		COG3518	"Intracellular trafficking, secretion, and    vesicular transport"
PA14_01070		Nonessential		COG3519	"Intracellular trafficking, secretion, and    vesicular transport"
PA14_01080		Nonessential		COG3520	"Intracellular trafficking, secretion, and    vesicular transport"
PA14_01100	clpB	Nonessential	K11907	COG0542	"Posttranslational modification, protein turnover, chaperones"
PA14_01110		Nonessential		COG3501	Function unknown
PA14_01120		Nonessential			
PA14_01130		Nonessential			
PA14_01140		Nonessential		COG4104	Function unknown
PA14_01150		Nonessential		COG5435	Function unknown
PA14_01160		Nonessential		COG3501	Function unknown
PA14_01170		Nonessential			
PA14_01180		Nonessential		COG5351	Function unknown
PA14_01190		Nonessential		COG0304	"Lipid metabolism / Secondary metabolites biosynthesis, transport, and catabolism"
PA14_01200		Nonessential			
PA14_01220		Nonessential			
PA14_01230		Nonessential			
PA14_01240		Nonessential		COG0288	Inorganic ion transport and metabolism
PA14_01250	ychM	Nonessential		COG0659	Inorganic ion transport and metabolism
PA14_01270		Nonessential			
PA14_01290	coxB	Nonessential	K02275	COG1622	Energy production and conversion
PA14_01300	coxA	Nonessential	K02274	COG0843	Energy production and conversion
PA14_01310	coxG	Nonessential	K02258	COG3175	"Posttranslational modification, protein turnover, chaperones"
PA14_01320	coIII	Nonessential	K02276	COG1845	Energy production and conversion
PA14_01330		Nonessential			
PA14_01340		Nonessential		COG3346	Function unknown
PA14_01350		Nonessential			
PA14_01360	ctaA	Nonessential	K02259	COG1612	"Posttranslational modification, protein turnover, chaperones"
PA14_01380	ctaB	Nonessential	K02301	COG0109	"Posttranslational modification, protein turnover, chaperones"
PA14_01390		Nonessential		COG1999	General function prediction only
PA14_01400	elaA	Nonessential	K02348	COG2153	General function prediction only
PA14_01410		Nonessential		COG1733	Transcription
PA14_01430		Nonessential		COG1028	"Secondary metabolites biosynthesis, transport, and catabolism / General function prediction only"
PA14_01440		Nonessential		COG3917	"Secondary metabolites biosynthesis, transport, and catabolism"
PA14_01460	dctA	Nonessential	K11103	COG1301	Energy production and conversion
PA14_01470		Nonessential		COG2186	Transcription
PA14_01480		Nonessential		COG1802	Transcription
PA14_01490		Nonessential			
PA14_01500		Nonessential		COG0583	Transcription
PA14_01510		Essential		COG3668	General function prediction only
PA14_01520		Nonessential		COG3905	Transcription
PA14_01540		Nonessential			
PA14_01550		Nonessential		COG5608	Defense mechanisms
PA14_01560	phnA	Nonessential	K06193	COG2824	Inorganic ion transport and metabolism
PA14_01580	gabP	Nonessential	K11735	COG1113	Amino acid transport and metabolism
PA14_01600	mmsA	Nonessential	K00140	COG1012	Energy production and conversion
PA14_01610		Nonessential			
PA14_01620	aptA	Nonessential	K00822	COG0161	Coenzyme metabolism
PA14_01640		Nonessential		COG0583	Transcription
PA14_01660	guaD	Nonessential	K01487	COG0402	Nucleotide transport and metabolism / General function prediction only
PA14_01670		Nonessential		COG3845	General function prediction only
PA14_01680		Nonessential		COG4603	General function prediction only
PA14_01690		Nonessential		COG1079	General function prediction only
PA14_01710	ahpC	Nonessential	K03386	COG0450	"Posttranslational modification, protein turnover, chaperones"
PA14_01720	ahpF	Nonessential	K03387	COG3634	"Posttranslational modification, protein turnover, chaperones"
PA14_01730		Nonessential		COG2326	Function unknown
PA14_01750		Nonessential		COG0402	Nucleotide transport and metabolism / General function prediction only
PA14_01760	nuh	Nonessential	K01239	COG1957	Nucleotide transport and metabolism
PA14_01770		Nonessential		COG3248	"Cell envelope biogenesis, outer membrane"
PA14_01780		Nonessential		COG3613	Nucleotide transport and metabolism
PA14_01790		Nonessential		COG3613	Nucleotide transport and metabolism
PA14_01800		Nonessential		COG1744	General function prediction only
PA14_01810		Nonessential		COG3491	General function prediction only
PA14_01830	add	Nonessential	K01488	COG1816	Nucleotide transport and metabolism
PA14_01840		Nonessential		COG1595	Transcription
PA14_01860		Nonessential		COG3712	Inorganic ion transport and metabolism / Signal transduction mechanisms
PA14_01870		Nonessential		COG1629	Inorganic ion transport and metabolism
PA14_01890	pcaQ	Nonessential	K02623	COG0583	Transcription
PA14_01900	pcaH	Nonessential	K00449	COG3485	"Secondary metabolites biosynthesis, transport, and catabolism"
PA14_01910	pcaG	Nonessential	K00448	COG3485	"Secondary metabolites biosynthesis, transport, and catabolism"
PA14_01930	pcaR	Nonessential	K02624	COG1414	Transcription
PA14_01940		Nonessential		COG0845	"Cell envelope biogenesis, outer membrane"
PA14_01960		Nonessential		COG0845	"Cell envelope biogenesis, outer membrane"
PA14_01970		Nonessential		COG0841	Defense mechanisms
PA14_01980		Nonessential		COG0583	Transcription
PA14_01990		Nonessential			
PA14_02010		Nonessential			
PA14_02020		Nonessential			
PA14_02030		Nonessential		COG2207	Transcription
PA14_02050		Nonessential		COG0405	Amino acid transport and metabolism
PA14_02060		Nonessential		COG3248	"Cell envelope biogenesis, outer membrane"
PA14_02070		Nonessential		COG2233	Nucleotide transport and metabolism
PA14_02090		Nonessential		COG1309	Transcription
PA14_02100		Nonessential		COG1739	Function unknown
PA14_02110		Nonessential		COG2199	Signal    transduction mechanisms
PA14_02130		Nonessential			
PA14_02140		Nonessential			
PA14_02150		Nonessential		COG2208	Signal transduction mechanisms / Transcription
PA14_02180	cheB	Nonessential	K03412	COG2201	Cell motility and secretion / Signal transduction mechanisms
PA14_02190	cheD	Nonessential	K03411	COG1871	Cell motility and secretion / Signal transduction mechanisms
PA14_02200	cheR	Nonessential	K00575	COG1352	Cell motility and secretion / Signal transduction mechanisms
PA14_02220		Nonessential		COG0840	Cell motility and secretion / Signal transduction mechanisms
PA14_02230	cheW	Nonessential	K03408	COG0835	Cell motility and secretion / Signal transduction mechanisms
PA14_02250	cheA	Nonessential	K03407	COG0643	Cell motility and secretion / Signal transduction mechanisms
PA14_02260	cheY	Nonessential	K03413	COG0784	Signal transduction mechanisms
PA14_02270		Nonessential		COG0840	Cell motility and secretion / Signal transduction mechanisms
PA14_02290		Nonessential		COG0583	Transcription
PA14_02300		Nonessential		COG1028	"Secondary metabolites biosynthesis, transport, and catabolism / General function prediction only"
PA14_02310	atsA	Nonessential	K01130	COG3119	Inorganic ion transport and metabolism
PA14_02330	atsC	Nonessential	K15555	COG1116	Inorganic ion transport and metabolism
PA14_02340	atsB	Nonessential	K15554	COG0600	Inorganic ion transport and metabolism
